id,count
AEAJECEFA,2
AEAJECJHD,2
AEAJEDDFJ,2
AEAJEDGHI,2
AEAJEECDI,2
AEAJEEEGJ,3
AEAJEEIJC,2
AEAJEFBBE,2
AEAJEFBGJ,2
AEAJEFFCC,2
AEAJEFHDD,3
AEAJEGCCF,2
AEAJEGCGC,2
AEAJEGDGH,2
AEAJEGHFJ,2
AEAJEGIDJ,2
AEAJEHDFH,2
AEAJEIBGA,2
AEAJEIBGH,2
AEAJEICHC,2
AEAJEIEGC,2
AEAJEIGDB,2
AEAJFBHJG,2
AEAJFBJJC,2
AEAJFCGCE,3
AEAJFCHGD,2
AEAJFDDJB,4
AEAJFDHFC,2
AEAJFDJHB,2
AEAJFEAFB,3
AEAJFEDEH,2
AEAJFFEAA,2
AEAJFFEIA,2
AEAJFFFFE,2
AEAJFFIED,2
AEAJFFIFA,2
AEAJFGAAF,2
AEAJFGACH,2
AEAJFGJDF,2
AEAJFGJEI,2
AEAJFGJHJ,2
AEAJFHCBD,3
AEAJFIAHC,3
AEAJFIEHF,2
AEAJFIEHJ,2
AEAJFIFAC,2
AEAJFIIAE,2
AEAJFIJJJ,2
AEAJFJJDI,4
AEAJFJJFG,2
AEAJGACHB,2
AEAJGADHC,2
AEAJGAFGB,2
AEAJGAGJB,2
AEAJGAIBI,2
AEAJGBCHI,2
AEAJGBGEI,2
AEAJGBHDB,2
AEAJGBIGJ,2
AEAJGCBEE,2
AEAJGCCFF,2
AEAJGCGEE,2
AEAJGCJHF,4
AEAJGDBCI,2
AEAJGDCIF,4
AEAJGDDFI,2
AEAJGDDHB,2
AEAJGEAFB,2
AEAJGECFE,2
AEAJGEFFB,3
AEAJGEGDG,2
AEAJGGAEF,2
AEAJGGFJA,2
AEAJGHACH,2
AEAJGHAFD,3
AEAJGHDIB,2
AEAJGHJCI,2
AEAJGIBDJ,2
AEAJGIFGJ,2
AEAJGJHFJ,2
AEAJGJHHD,2
AEAJGJIFI,2
AEAJHAFAE,2
AEAJHAGJH,2
AEAJHAICA,2
AEAJHAIFH,2
AEAJHBDFA,2
AEAJHBFGE,2
AEAJHBFIJ,4
AEAJHBGEI,2
AEAJHBIBD,4
AEAJHCAFA,2
AEAJHCAGH,4
AEAJHCBCI,4
AEAJHCBDJ,2
AEAJHECFA,2
AEAJHECIJ,4
AEAJHEEEA,2
AEAJHEEGG,2
AEAJHEGEB,2
AEAJHEGFG,2
AEAJHEIHJ,2
AEAJHFCHF,3
AEAJHGCDA,2
AEAJHGDCB,4
AEAJHGEHA,6
AEAJHGFCJ,3
AEAJHHAHH,2
AEAJHHDAH,2
AEAJHHFHF,2
AEAJHHGHH,2
AEAJHHGIC,2
AEAJHHIDH,4
AEAJHIBHC,8
AEAJHICFH,2
AEAJHIFJB,2
AEAJHIHHI,2
AEAJHIHJF,2
AEAJHJBBJ,2
AEAJHJCII,2
AEAJHJEIJ,2
AEAJHJGDF,3
AEAJIADDA,3
AEAJIAFIC,2
AEAJIAHAE,2
AEAJIAIFB,3
AEAJIAJEC,2
AEAJIBCCC,3
AEAJIBCJJ,2
AEAJICFIH,2
AEAJICIHH,2
AEAJIDACJ,2
AEAJIDDHC,2
AEAJIDFJI,2
AEAJIDGFA,2
AEAJIDHEH,2
AEAJIECIC,4
AEAJIEEAE,4
AEAJIEFFG,4
AEAJIEGAF,3
AEAJIEHDE,2
AEAJIEHID,2
AEAJIEJCJ,2
AEAJIFABC,2
AEAJIFBEC,3
AEAJIFBFB,2
AEAJIFDFH,2
AEAJIFEDJ,2
AEAJIFFAD,2
AEAJIFFFE,2
AEAJIFGEC,2
AEAJIFHGJ,2
AEAJIFIFE,4
AEAJIFIGG,2
AEAJIFJEG,2
AEAJIFJHH,2
AEAJIGAGG,2
AEAJIGCAB,3
AEAJIGCDA,2
AEAJIGFDH,2
AEAJIGHGF,4
AEAJIGJEH,2
AEAJIHBAF,2
AEAJIHCCE,2
AEAJIHECE,2
AEAJIHFCE,2
AEAJIHFHB,2
AEAJIHGCH,2
AEAJIHJJB,2
AEAJIIAAI,2
AEAJIIDCD,2
AEAJIIDGG,2
AEAJIIDHE,2
AEAJIIEFJ,2
AEAJIJAIJ,2
AEAJIJCFA,2
AEAJIJCGF,2
AEAJIJDCG,3
AEAJIJEDB,2
AEAJIJHHG,2
AEAJJDCED,2
AEAJJDDIB,3
AEAJJDHBI,2
AEAJJDJEI,2
AEAJJEIGD,2
AEAJJGFJH,2
AEAJJHBGE,2
AEAJJICBB,2
AEAJJICBE,2
AEIJJJJAA,2
AEJACAGCA,3
AEJACICHD,2
AEJJCCHEB,2
AEJJECJFJ,2
AEJJHHBBA,2
AHJAAJBGJ,2
AHJAAJJHG,2
AHJAJAICC,2
AHJAJBAGF,2
AHJAJBAHH,2
AHJAJBDAJ,2
AHJAJBIFH,2
AHJAJBJDJ,2
AHJAJCBED,2
AHJAJCEFA,3
AHJAJCGGG,4
AHJAJCIFG,2
AHJAJCIHF,2
AHJAJDBBG,2
AHJAJDDDH,2
AHJAJDEAB,3
AHJAJDEAE,2
AHJAJDGFC,4
AHJAJDICG,4
AHJAJDIIJ,4
AHJAJDJAI,2
AHJAJDJFB,2
AHJAJDJIB,2
AHJAJEBEB,2
AHJAJECGB,2
AHJAJEEAA,4
AHJAJEFGF,2
AHJAJEGGE,2
AHJAJEHHI,2
AHJAJEJGF,2
AHJAJGBFD,2
AHJAJGCAH,2
AHJAJGCBG,4
AHJAJGDDD,4
AHJAJGHIJ,4
AHJAJGIAH,4
AHJAJGIBF,2
AHJAJHEJC,2
AHJAJHJIB,4
AHJAJIAGJ,2
AHJAJIFGA,2
AHJAJIFGH,2
AHJAJIHGD,2
AHJAJIHHC,2
AHJAJIHJD,2
AHJAJIICC,2
AHJAJIIGB,2
AHJAJIIGG,2
AHJAJJBIG,4
AHJAJJBJE,2
AHJAJJEID,2
AHJJAACDI,2
AHJJAAFFB,2
AHJJAAHAE,4
AHJJABAIB,2
AHJJABAID,3
AHJJABCGB,2
AHJJABDDG,2
AHJJABDGB,2
AHJJABEGI,2
AHJJABHEH,2
AHJJABJFG,2
AHJJABJHI,2
AHJJADBCB,2
AHJJADDGA,2
AHJJADEIA,2
AHJJADGEG,2
AHJJADGEJ,2
AHJJADIJA,2
AHJJAEAFB,2
AHJJAECDF,2
AHJJAEEJB,2
AHJJAEFHC,2
AHJJAFDAI,2
AHJJAFFBH,2
AHJJAFGCE,2
AHJJAFGIG,3
AHJJAFIAH,2
AHJJAGCCA,2
AHJJAGDBG,2
AHJJAGGGJ,2
AHJJAGJDD,2
AHJJAHBDH,2
AHJJAHFAI,4
AHJJAHHDC,2
AHJJAHIII,2
AHJJAHJBH,2
AHJJAIAFJ,2
AHJJAIBGH,2
AHJJAICBF,2
AHJJAICEC,2
AHJJAIDDD,2
AHJJAIDFG,2
AHJJAIDHF,3
AHJJAIEHF,2
AHJJAIFDH,4
AHJJAIFGI,2
AHJJAIHGB,2
AHJJAIIDC,2
AHJJAIJDC,3
AHJJAJIIG,2
AHJJBADJH,2
AHJJBAECC,2
AHJJBAGBJ,2
AHJJBBAJB,2
AHJJBBDDC,3
AHJJBCCCA,2
AHJJBCDCF,2
AHJJBCGEA,2
AHJJBCIIC,3
AHJJBDGCB,4
AHJJBEFHA,2
AHJJBEFIH,2
AHJJBFDBH,2
AHJJBFFAA,2
AHJJBGABF,2
AHJJBGDIH,2
AHJJBGEFE,2
AHJJBGHBA,2
AHJJBGIGB,2
AHJJBGIII,2
AHJJBHHCJ,2
AHJJBHJJE,2
AHJJBIBIG,2
AHJJBIDDE,2
AHJJBIJGI,2
AHJJBJBEF,2
AHJJBJFJB,2
AHJJBJHBF,2
AHJJBJIDB,2
AHJJBJJDI,2
AHJJBJJEG,2
AHJJCABBG,2
AHJJCAEDG,2
AHJJCAEFI,2
AHJJCAGBD,2
AHJJCAHDF,2
AHJJCAHEG,2
AHJJCAIDF,2
AHJJCBCFD,3
AHJJCBEDA,2
AHJJCBIED,2
AHJJCBJIB,2
AHJJCCAHF,2
AHJJCCBBF,2
AHJJCCBFA,2
AHJJCCHHG,2
AHJJCCIDE,2
AHJJCCIFE,2
AHJJCDAEI,2
AHJJCDBJH,2
AHJJCDDBH,2
AHJJCDJAF,2
AHJJCEEIG,2
AHJJCEFIH,2
AHJJCEIAI,2
AHJJCEJBJ,2
AHJJCFBIE,2
AHJJCFDCI,2
AHJJCFFHF,2
AHJJCFHFE,2
AHJJCFHHG,2
AHJJCGCCG,2
AHJJCGCGE,2
AHJJCGCGH,2
AHJJCGEHC,2
AHJJCGHGD,2
AHJJCGHHH,2
AHJJCGIBB,2
AHJJCHBCG,2
AHJJCHBEC,2
AHJJCHDCJ,2
AHJJCHJDE,2
AHJJCHJHJ,2
AHJJCHJID,2
AHJJCHJJA,2
AHJJCHJJD,2
AHJJCIDIH,2
AHJJCIEFC,2
AHJJCIGGB,2
AHJJCJAAC,2
AHJJCJBCF,2
AHJJCJBIE,2
AHJJCJDCJ,2
AHJJCJDED,2
AHJJCJGEF,2
AHJJCJIDI,2
AHJJDADEH,2
AHJJDADHG,2
AHJJDADJH,2
AHJJDAJDD,2
AHJJDAJED,4
AHJJDBBAE,3
AHJJDBBDB,2
AHJJDBHDB,2
AHJJDBHEF,2
AHJJDBHGB,2
AHJJDBJCH,2
AHJJDCBBI,2
AHJJDCEAD,2
AHJJDCEHI,2
AHJJDCGBH,4
AHJJDCHIH,2
AHJJDCJGH,2
AHJJDDAJG,2
AHJJDDBEC,2
AHJJDDBFH,2
AHJJDDCCD,3
AHJJDDEAA,2
AHJJDDFBC,2
AHJJDDFJA,2
AHJJDDGBF,2
AHJJDDJGH,2
AHJJDEDAD,4
AHJJDEGGB,2
AHJJDFDAD,2
AHJJDFEJE,2
AHJJDFHHG,2
AHJJDGAFA,2
AHJJDGECE,2
AHJJDHDEA,2
AHJJDHDEB,2
AHJJDHDEG,2
AHJJDHEAJ,2
AHJJDHEDA,2
AHJJDHEJC,2
AHJJDHGCG,2
AHJJDIJAA,2
AHJJDJBHC,2
AHJJDJBIA,2
AHJJDJFDG,2
AHJJDJFHE,4
AHJJDJHAE,2
AHJJDJHEJ,3
AHJJEADAB,2
AHJJEADDD,2
AHJJEADJI,2
AHJJEAEJH,2
AHJJEBEGC,2
AHJJEBHFA,2
AHJJEBIHE,2
AHJJEBIIG,2
AHJJECDFD,2
AHJJECGHF,2
AHJJEDEBD,2
AHJJEDGHA,2
AHJJEDHHF,2
AHJJEDIFD,2
AHJJEEAFG,2
AHJJEEAGJ,2
AHJJEEDBH,2
AHJJEFEEH,3
AHJJEFEFD,2
AHJJEFFEG,2
AHJJEFJIB,2
AHJJEGABA,2
AHJJEGICJ,2
AHJJEHFBF,2
AHJJEHIBI,2
AHJJEIAAE,2
AHJJEICJB,2
AHJJEIDCH,3
AHJJEIFAI,2
AHJJEIJGG,2
AHJJEJABH,2
AHJJEJBDB,2
AHJJEJBFI,2
AHJJEJDBB,2
AHJJEJEIE,2
AHJJFAAGD,4
AHJJFAAGI,2
AHJJFAHFB,2
AHJJFBEJJ,2
AHJJFBFFG,2
AHJJFBIFD,2
AHJJFBIGE,2
AHJJFBJJE,2
AHJJFCBCJ,2
AHJJFCDIB,2
AHJJFCEDA,3
AHJJFCFHD,4
AHJJFCGFJ,2
AHJJFCIHH,2
AHJJFCIHJ,2
AHJJFCJJG,2
AHJJFDCBI,2
AHJJFDCEA,2
AHJJFDFII,3
AHJJFDGID,2
AHJJFDIJD,2
AHJJFEEFG,2
AHJJFEGJG,2
AHJJFEIBA,4
AHJJFEIDC,2
AHJJFEIDD,2
AHJJFEIGD,2
AHJJFFBFA,2
AHJJFFBJC,2
AHJJFFGAD,2
AHJJFFHAG,2
AHJJFFIDF,2
AHJJFGADF,3
AHJJFGAIE,2
AHJJFGBAF,3
AHJJFGBBG,2
AHJJFGDDH,2
AHJJFGDFJ,2
AHJJFGDIA,2
AHJJFGECB,2
AHJJFGFEE,2
AHJJFGHHH,2
AHJJFGHIB,2
AHJJFGIDF,2
AHJJFGIGJ,2
AHJJFHAGJ,2
AHJJFHBFJ,2
AHJJFHCJF,2
AHJJFHIEJ,2
AHJJFHJJC,2
AHJJFIDFA,2
AHJJFIFDF,2
AHJJFIGCG,2
AHJJFIHDA,2
AHJJFIHHI,3
AHJJFIJHE,2
AHJJFJCEE,4
AHJJFJFCH,2
AHJJGABDC,2
AHJJGACBH,2
AHJJGBHGE,2
AHJJGCEHA,3
AHJJGCJIG,2
AHJJGDBDC,2
AHJJGDBFG,2
AHJJGDDID,2
AHJJGDHGH,2
AHJJGDHJF,2
AHJJGEAEF,2
AHJJGEFFB,4
AHJJGEIBD,4
AHJJGEIHH,2
AHJJGFAEE,2
AHJJGFDDG,2
AHJJGGAJI,2
AHJJGGCJD,2
AHJJGGDIA,2
AHJJGGFCB,2
AHJJGGFIF,2
AHJJGGHFF,2
AHJJGGHIJ,2
AHJJGGIBH,2
AHJJGHCAJ,2
AHJJGHFIH,4
AHJJGHIDC,2
AHJJGHIGI,2
AHJJGICCI,2
AHJJGIDHI,2
AHJJGIFBF,3
AHJJGIJBA,3
AHJJGJDEC,3
AHJJGJEHF,2
AHJJGJEJA,2
AHJJGJGCI,2
AHJJHACDF,2
AHJJHAHFA,2
AHJJHBAEJ,2
AHJJHBBGF,3
AHJJHBCIH,2
AHJJHBHIF,2
AHJJHBJJA,2
AHJJHCACE,2
AHJJHCAJD,2
AHJJHCBDF,2
AHJJHCBFJ,2
AHJJHCCAJ,2
AHJJHCEHG,2
AHJJHCFAI,2
AHJJHCHHB,2
AHJJHDBDC,2
AHJJHDEAE,3
AHJJHDEBB,2
AHJJHDHFJ,2
AHJJHDHIE,2
AHJJHDJJG,2
AHJJHEBFB,2
AHJJHECHA,2
AHJJHECHC,2
AHJJHEFHF,2
AHJJHFFDD,2
AHJJHFFGF,2
AHJJHFFJH,2
AHJJHFGEA,2
AHJJHFHFI,2
AHJJHFIGF,2
AHJJHGCIH,4
AHJJHGFAD,2
AHJJHGFFI,2
AHJJHGIBE,3
AHJJHHAIE,2
AHJJHHCJA,2
AHJJHHEBI,4
AHJJHHECD,2
AHJJHHEHI,2
AHJJHHHJE,2
AHJJHHJIA,2
AHJJHICIJ,2
AHJJHIDCJ,2
AHJJHIGII,2
AHJJHIHIC,2
AHJJHIJGE,2
AHJJHJFDF,2
AHJJHJGBH,2
AHJJHJHEI,2
AHJJHJJGG,3
AHJJIAADF,2
AHJJIABIA,2
AHJJIADCB,3
AHJJIADGC,3
AHJJIAHEJ,2
AHJJIAHJJ,2
AHJJIAJFF,2
AHJJIBAHI,2
AHJJIBCFC,2
AHJJIBEID,5
AHJJIBGJF,2
AHJJIBHHF,2
AHJJIBHIJ,2
AHJJICBED,2
AHJJICFFF,2
AHJJICFHI,2
AHJJIDADB,2
AHJJIDCEE,2
AHJJIDEFE,2
AHJJIDGCF,2
AHJJIEAAI,2
AHJJIEAFI,2
AHJJIEAJI,2
AHJJIECCF,2
AHJJIEEJB,2
AHJJIEFIF,2
AHJJIFFHH,2
AHJJIFGHI,4
AHJJIGAFG,4
AHJJIGDBB,2
AHJJIGEHA,2
AHJJIGHGI,2
AHJJIGIDD,2
AHJJIHAEB,2
AHJJIHDDI,2
AHJJIHGEA,2
AHJJIHHFJ,2
AHJJIHJJB,2
AHJJIIBJJ,3
AHJJIICCE,3
AHJJIIEIB,4
AHJJIIGEJ,2
AHJJIJAIH,2
AHJJIJBAH,2
AHJJIJBJH,2
AHJJJAHDB,2
AHJJJBAFB,2
AHJJJBCGJ,2
AHJJJBEIF,2
AHJJJCEIC,2
AHJJJCJEE,2
AHJJJDBDF,2
AHJJJDGFG,2
AHJJJDGIF,2
AHJJJEAGF,2
AHJJJEGIB,2
AHJJJEJBA,2
AHJJJFDEC,2
AHJJJFDGG,2
AHJJJFHDE,2
AHJJJFJCD,2
AHJJJGCEC,2
AHJJJGFID,2
AHJJJGFIE,2
AHJJJGHGG,2
AHJJJGIBE,2
AHJJJHCEA,4
AHJJJHEDF,2
AHJJJHJAH,2
AHJJJICBD,2
AHJJJIEAD,2
AHJJJIHCB,2
AHJJJIIAJ,2
AHJJJJCFA,2
BAAAAJJBG,2
BAAAJAAAD,2
BAAAJAAFF,2
BAAAJABBI,2
BAAAJABCE,2
BAAAJABFG,2
BAAAJABFH,2
BAAAJADBC,2
BAAAJADCI,2
BAAAJAEAF,4
BAAAJAECB,4
BAAAJAEEA,2
BAAAJAEJD,2
BAAAJAGAE,2
BAAAJAGAF,2
BAAAJAGBB,2
BAAAJAGJI,2
BAAAJAGJJ,2
BAAAJAHDJ,4
BAAAJAHIA,2
BAAAJAJHJ,2
BAAAJBABA,2
BAAAJBBBJ,2
BAAAJBBHE,2
BAAAJBBJE,6
BAAAJBCDA,2
BAAAJBCEJ,2
BAAAJBCFI,3
BAAAJBCGJ,2
BAAAJBCIC,2
BAAAJBCIG,2
BAAAJBDAI,4
BAAAJBDEB,2
BAAAJBEDG,2
BAAAJBEJC,2
BAAAJBFAI,3
BAAAJBFBJ,4
BAAAJBFFD,2
BAAAJBGAB,2
BAAAJBHFF,2
BAAAJBHII,4
BAAAJBIAI,2
BAAAJBIEE,2
BAAAJBJAE,2
BAAAJCACA,2
BAAAJCBDC,2
BAAAJCBFA,2
BAAAJCCDE,2
BAAAJCDIF,2
BAAAJCEAF,2
BAAAJCEFE,2
BAAAJCFAE,4
BAAAJCFDG,4
BAAAJCGBC,2
BAAAJCGEF,2
BAAAJCGFE,2
BAAAJCGII,2
BAAAJCHBI,2
BAAAJCHDB,2
BAAAJCHDC,2
BAAAJCHDJ,2
BAAAJCIAB,2
BAAAJCIEI,2
BAAAJCIII,2
BAAAJCJAF,2
BAAAJCJAI,2
BAAAJCJCF,2
BAAAJCJHA,2
BAAAJCJJD,2
BAAAJDADC,2
BAAAJDAFD,2
BAAAJDBCF,2
BAAAJDBGC,2
BAAAJDBJE,4
BAAAJDCEI,2
BAAAJDCGF,2
BAAAJDCIF,2
BAAAJDDEG,2
BAAAJDDFB,2
BAAAJDDFE,3
BAAAJDDFH,2
BAAAJDDHB,2
BAAAJDEJC,2
BAAAJDFAC,2
BAAAJDFCJ,2
BAAAJDFJG,2
BAAAJDGBF,2
BAAAJDGGJ,2
BAAAJDHJI,2
BAAAJDIEJ,2
BAAAJDIHB,2
BAAAJDIHE,5
BAAAJDIHG,2
BAAAJDIJC,2
BAAAJDJFI,4
BAAAJDJIF,2
BAAAJDJJI,3
BAAAJEABD,2
BAAAJEADA,2
BAAAJEADE,2
BAAAJEAEG,4
BAAAJEAGA,2
BAAAJEAIG,2
BAAAJEBFJ,2
BAAAJEBGJ,4
BAAAJEBJJ,2
BAAAJEGHC,3
BAAAJEGHF,2
BAAAJEIAG,3
BAAAJEJCA,2
BAAAJEJGE,2
BAAAJEJGJ,2
BAAAJEJHE,3
BAAAJEJHG,4
BAAAJEJIA,2
BAAAJEJJC,2
BAAAJFEFD,2
BAAAJFEHG,2
BAAAJFFIE,2
BAAAJFFIH,2
BAAAJFGBG,6
BAAAJFHBG,2
BAAAJFHCH,3
BAAAJFHIB,2
BAAAJFICF,2
BAAAJFIFC,5
BAAAJFIFD,2
BAAAJFIJA,3
BAAAJGADG,2
BAAAJGAEB,2
BAAAJGAFC,2
BAAAJGAFD,2
BAAAJGAHG,2
BAAAJGAJE,2
BAAAJGBCB,2
BAAAJGBCE,2
BAAAJGBED,3
BAAAJGBGB,2
BAAAJGCBC,2
BAAAJGCCF,3
BAAAJGCFD,2
BAAAJGCHJ,2
BAAAJGDDG,2
BAAAJGDEE,2
BAAAJGDIA,2
BAAAJGDIF,4
BAAAJGDIJ,4
BAAAJGDJJ,2
BAAAJGEAG,2
BAAAJGEBC,2
BAAAJGECB,2
BAAAJGEHC,2
BAAAJGFDD,2
BAAAJGFFA,2
BAAAJGFGD,2
BAAAJGGCJ,2
BAAAJGGII,2
BAAAJGGJI,2
BAAAJGHAJ,2
BAAAJGHBJ,2
BAAAJGHGI,2
BAAAJGHIC,2
BAAAJGHIF,2
BAAAJGIBB,2
BAAAJGIBG,4
BAAAJGIFC,2
BAAAJGIFE,2
BAAAJGIHF,2
BAAAJGJAI,2
BAAAJGJBF,2
BAAAJGJBG,2
BAAAJGJCB,2
BAAAJGJEJ,5
BAAAJGJGB,2
BAAAJGJGH,4
BAAAJGJIH,2
BAAAJGJJA,2
BAAAJHABA,2
BAAAJHABJ,4
BAAAJHAEF,2
BAAAJHBBG,4
BAAAJHBFH,2
BAAAJHBGC,2
BAAAJHBJC,2
BAAAJHCEJ,2
BAAAJHDDH,2
BAAAJHDGE,2
BAAAJHDHF,2
BAAAJHEAA,2
BAAAJHEEE,2
BAAAJHEEJ,2
BAAAJHEFH,2
BAAAJHFBH,2
BAAAJHFCI,2
BAAAJHFDE,2
BAAAJHFDG,2
BAAAJHFJI,2
BAAAJHGDA,3
BAAAJHGEH,4
BAAAJHHJA,2
BAAAJHHJH,2
BAAAJHICC,2
BAAAJHIFC,2
BAAAJHIGE,2
BAAAJHIHG,2
BAAAJHJAC,2
BAAAJHJCB,4
BAAAJHJEJ,2
BAAAJHJHA,2
BAAAJHJID,2
BAAAJHJJE,2
BAAAJIAAA,2
BAAAJIABG,4
BAAAJIAFD,4
BAAAJIAII,2
BAAAJIAJF,2
BAAAJIBBE,3
BAAAJIBDC,2
BAAAJIBFF,2
BAAAJICDJ,2
BAAAJICEC,2
BAAAJICGF,2
BAAAJIDEB,4
BAAAJIDFC,2
BAAAJIDGF,2
BAAAJIDGH,2
BAAAJIEIG,2
BAAAJIEJF,2
BAAAJIEJJ,2
BAAAJIFAA,2
BAAAJIFCG,2
BAAAJIFIF,2
BAAAJIGAB,2
BAAAJIGBF,2
BAAAJIGEB,2
BAAAJIGFG,3
BAAAJIGGB,2
BAAAJIGGG,2
BAAAJIHBC,2
BAAAJIHBD,2
BAAAJIICJ,2
BAAAJIIEJ,2
BAAAJIIHI,2
BAAAJIIIG,2
BAAAJIIJJ,3
BAAAJIJCH,4
BAAAJIJDE,2
BAAAJIJGA,2
BAAAJIJJC,2
BAAAJJAJB,2
BAAAJJBED,2
BAAAJJCAC,2
BAAAJJDAF,2
BAAAJJDBI,2
BAAAJJDCF,2
BAAAJJDGF,3
BAAAJJDHG,2
BAAAJJEAF,2
BAAAJJECJ,3
BAAAJJEGA,2
BAAAJJFBC,2
BAAAJJFEB,2
BAAAJJFEI,2
BAAAJJFGI,2
BAAAJJGAE,2
BAAAJJGCI,2
BAAAJJGGD,2
BAAAJJGHD,3
BAAAJJGHG,2
BAAAJJGID,4
BAAAJJHCB,4
BAAAJJHDA,2
BAAAJJIBB,2
BAAAJJICB,3
BAAAJJIEA,2
BAAAJJJAH,2
BAAAJJJHF,2
BAAAJJJID,2
BAABJACGD,4
BAABJADHG,2
BAABJADID,2
BAABJADIE,2
BAABJAEGJ,2
BAABJAEIJ,4
BAABJAFCB,4
BAABJAFEJ,2
BAABJAFGF,2
BAABJAGFA,2
BAABJAGIF,2
BAABJAHAC,2
BAABJAHCH,2
BAABJAHEA,2
BAABJAIFC,2
BAABJAIHC,2
BAABJAIHF,2
